categetab;equivalent
198;198 - ESPO
246;246 - ESAT
249;249 - ESRP
252;252 - FHAH
253;253 - FPAH
255;255 - MAS
379;379 - EEAH
382;382 - FVAH
395;395 - EATAH
437;437 - FAM
448;448 - EAM
449;449 - EANM
461;461 - CR
464;464 - UEROS
445;445 - SAMSAH
446;446 - SAVS
183;183 - IME
186;186 - ITEP
188;188 - EEAP
192;192 - IEM
194;194 - IDV
195;195 - IDA
196;196 - IESPESA
238;238 - CAFS
377;377 - EEEH
390;390 - EATEH
396;396 - FOYPH
402;402 - JES
182;182 - SESSAD
189;189 - CMPP
190;190 - CAMSP
221;221 - BAPU
